scan_date,equity,cash,positions,holdings
2025-11-07,2.202718442178828,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-11-10,2.353624093753206,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-11-11,2.318887749799406,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-11-12,2.2711988857906946,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-11-13,2.1290771798385144,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-11-14,2.172710090573768,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-11-17,2.1972752504995934,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-11-18,2.1946634941677496,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-11-19,2.2061223202690137,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-11-20,2.0383655427935623,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-11-21,2.0968480522992956,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-11-24,2.250737808260682,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-11-25,2.2434225201661016,0.0,6,"CIEN, COHR, LITE, ACMR, CENX, ALGT"
2025-11-26,2.3107376373239408,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-11-28,2.3690417415476057,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-12-01,2.377446610397089,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-12-02,2.4228948927202447,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-12-03,2.515489804942773,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-12-04,2.4928229794389707,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-12-05,2.5245752986000864,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-12-08,2.517588144219128,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-12-09,2.5500618706087175,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-12-10,2.615492146878977,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-12-11,2.712463302495439,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-12-12,2.653078686163875,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-12-15,2.6347309140439803,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-12-16,2.5839369019805605,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-12-17,2.582807217801276,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-12-18,2.5919829180430702,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-12-19,2.6765488704191065,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-12-22,2.729566667001467,0.015904394726840576,6,"ACMR, CENX, ALGT, HL, AMKR, MUR"
2025-12-23,2.7179713138926207,0.03788170107051225,6,"HL, AMKR, MUR, AMR, CIEN, ALB"
2025-12-24,2.706328042825182,0.0,6,"AMR, CIEN, ALB, RUN, WDC, AA"
2025-12-26,2.724664399338935,0.0,6,"AMR, CIEN, ALB, RUN, WDC, AA"
2025-12-29,2.6782619587114778,0.0,6,"AMR, CIEN, ALB, RUN, WDC, AA"
2025-12-30,2.643687342156502,0.0,6,"AMR, CIEN, ALB, RUN, WDC, AA"
2025-12-31,2.593438172816251,0.0,6,"AMR, CIEN, ALB, RUN, WDC, AA"
2026-01-02,2.7210938932948685,0.0,6,"AMR, CIEN, ALB, RUN, WDC, AA"
2026-01-05,2.712733980350995,0.0,6,"AMR, CIEN, ALB, RUN, WDC, AA"
2026-01-06,2.9108685695200522,0.0,6,"AMR, CIEN, ALB, RUN, WDC, AA"
2026-01-07,2.877383977392036,0.0,6,"AMR, CIEN, ALB, RUN, WDC, AA"
2026-01-08,2.798760169646317,0.0,6,"AMR, CIEN, ALB, RUN, WDC, AA"
2026-01-09,2.8915102294931283,0.0,6,"AMR, CIEN, ALB, RUN, WDC, AA"
2026-01-12,2.9954168943326422,0.0,6,"AMR, CIEN, ALB, RUN, WDC, AA"
2026-01-13,3.0232030644620616,0.0,6,"AMR, CIEN, ALB, RUN, WDC, AA"
2026-01-14,3.023512379403001,0.0,6,"AMR, CIEN, ALB, RUN, WDC, AA"
2026-01-15,3.030044412078184,0.0,6,"AMR, CIEN, ALB, RUN, WDC, AA"
2026-01-16,2.943923201432531,0.0,6,"AMR, CIEN, ALB, RUN, WDC, AA"
2026-01-20,2.9359226169611756,0.020474348240296703,6,"RUN, WDC, AA, ICHR, LITE, TTMI"
2026-01-21,3.0774973621183976,0.014115027571896865,6,"ICHR, LITE, TTMI, FORM, MKSI, LRCX"
2026-01-22,3.024496090604349,0.014115027571896865,6,"ICHR, LITE, TTMI, FORM, MKSI, LRCX"
2026-01-23,2.8968044808500792,0.014115027571896865,6,"ICHR, LITE, TTMI, FORM, MKSI, LRCX"
2026-01-26,2.8921320047199277,0.014115027571896865,6,"ICHR, LITE, TTMI, FORM, MKSI, LRCX"
2026-01-27,3.0096810146785264,0.014115027571896865,6,"ICHR, LITE, TTMI, FORM, MKSI, LRCX"
2026-01-28,3.0543305163507997,0.014115027571896865,6,"ICHR, LITE, TTMI, FORM, MKSI, LRCX"
2026-01-29,3.1258455206144653,0.014115027571896865,6,"ICHR, LITE, TTMI, FORM, MKSI, LRCX"
2026-01-30,3.0282646801935673,0.014115027571896865,6,"ICHR, LITE, TTMI, FORM, MKSI, LRCX"
2026-02-02,3.116481839792522,0.014115027571896865,6,"ICHR, LITE, TTMI, FORM, MKSI, LRCX"
2026-02-03,3.139644914646026,0.014115027571896865,6,"ICHR, LITE, TTMI, FORM, MKSI, LRCX"
2026-02-04,2.999821752069267,0.014115027571896865,6,"ICHR, LITE, TTMI, FORM, MKSI, LRCX"
2026-02-05,3.1422710948100425,0.014115027571896865,6,"ICHR, LITE, TTMI, FORM, MKSI, LRCX"
2026-02-06,3.411900273657211,0.014115027571896865,6,"ICHR, LITE, TTMI, FORM, MKSI, LRCX"
2026-02-09,3.516693157837432,0.014115027571896865,6,"ICHR, LITE, TTMI, FORM, MKSI, LRCX"
2026-02-10,3.640869382485291,0.014115027571896865,6,"ICHR, LITE, TTMI, FORM, MKSI, LRCX"
2026-02-11,3.73761445736708,0.014115027571896865,6,"ICHR, LITE, TTMI, FORM, MKSI, LRCX"
2026-02-12,3.648469868047002,0.014115027571896865,6,"ICHR, LITE, TTMI, FORM, MKSI, LRCX"
